TYC,RAdeg,DEdeg,BTmag,VTmag,Const,Color
0326-00870-1,221.85685083,2.03580472,6.932,6.817,Virgo,0.11500000000000021
0326-01426-1,221.56244694,1.89293444,3.72,3.716,Virgo,0.0040000000000000036
0326-01427-1,221.37594722,0.71728889,5.659,5.663,Virgo,-0.004000000000000448
0336-01027-1,229.82746222,1.76661639,5.693,5.118,Serpens,0.5749999999999993
0336-01028-1,230.25841361,0.71558389,6.966,5.53,Serpens,1.436
0336-01029-1,228.95473389,0.37211056,5.845,5.647,Serpens,0.1979999999999995
0337-00843-1,232.15951361,1.84216,5.43,5.178,Serpens,0.2519999999999998
0338-01145-1,225.72529056,2.09127222,5.725,4.513,Virgo,1.2119999999999997
0344-01146-1,228.79735222,4.93935306,6.712,5.457,Serpens,1.255
0350-00918-1,233.76928028,1.66927861,6.882,6.585,Serpens,0.2969999999999997
0355-01288-1,236.00768583,2.51551139,6.698,5.945,Serpens,0.7530000000000001
0356-01276-1,237.5730425,2.19662222,6.511,5.33,Serpens,1.181
0360-01225-1,236.34778472,5.44732333,5.604,5.575,Serpens,0.028999999999999915
0360-01226-1,237.70372889,4.47758472,3.885,3.714,Serpens,0.17099999999999982
0363-01135-1,236.06666361,6.42552222,4.142,2.739,Serpens,1.4030000000000005
0364-01224-1,236.61141389,7.35323444,5.138,4.482,Serpens,0.6559999999999997
0368-01592-1,245.5184825,1.02892444,5.221,4.858,Serpens,0.36300000000000043
0373-01837-1,246.588365,2.50780194,6.769,6.677,Ophiucus,0.09200000000000053
0381-01598-1,246.04511583,6.94817278,5.836,5.82,Hercules,0.016000000000000014
0383-01787-1,250.42724194,1.18109972,6.109,5.764,Ophiucus,0.34499999999999975
0384-02284-1,252.85389528,1.21599722,5.582,5.521,Ophiucus,0.06099999999999994
0384-02285-1,251.37365361,1.02014583,6.002,6.015,Ophiucus,-0.0129999999999999
0386-02062-1,247.72850056,1.98409722,4.19,4.147,Ophiucus,0.04300000000000015
0386-02062-2,247.72864306,1.98445,5.236,5.152,Ophiucus,0.08399999999999963
0388-00497-1,251.79066389,2.06456417,6.239,6.094,Ophiucus,0.14499999999999957
0390-02239-1,248.14865417,5.52122083,5.559,5.612,Hercules,-0.052999999999999936
0391-02824-1,250.16119556,4.21981556,5.751,5.759,Hercules,-0.008000000000000007
0392-02704-1,251.94346139,5.24683972,5.206,5.217,Hercules,-0.010999999999999233
0396-02346-1,252.58063583,7.24770472,5.613,5.484,Hercules,0.12900000000000045
0398-01908-1,256.32011583,0.70336444,6.682,6.057,Ophiucus,0.625
0400-01862-1,259.13216222,1.21058222,5.951,5.923,Ophiucus,0.02799999999999958
0401-02211-1,262.20704222,0.33057917,5.697,5.442,Ophiucus,0.2549999999999999
0404-02156-1,259.05939194,2.18624056,6.434,6.203,Ophiucus,0.23099999999999987
0409-01922-1,261.62866667,4.14034139,6.293,4.496,Ophiucus,1.7969999999999997
0410-02766-1,255.12240444,6.58381139,6.847,6.595,Ophiucus,0.25200000000000067
0412-01246-1,259.71992028,6.0854325,6.969,6.56,Ophiucus,0.4090000000000007
0417-02592-1,269.0766775,0.67035556,5.894,5.827,Ophiucus,0.06700000000000017
0417-02593-1,269.26798806,0.06668278,6.116,5.982,Ophiucus,0.13399999999999945
0418-02364-1,262.838935,2.72446167,6.622,5.673,Ophiucus,0.9489999999999998
0419-02147-1,266.14203528,2.57941111,6.219,6.129,Ophiucus,0.09000000000000075
0419-02148-1,266.14776556,2.57909306,6.526,6.466,Ophiucus,0.05999999999999961
0420-01962-1,266.9732225,2.70744639,3.789,3.737,Ophiucus,0.052000000000000046
0423-01724-1,265.86823194,4.56690889,4.28,2.879,Ophiucus,1.4010000000000002
0424-01087-1,266.53052333,5.53021528,6.822,6.844,Ophiucus,-0.02200000000000024
0424-01448-1,267.08430972,3.80419583,6.377,6.241,Ophiucus,0.13600000000000012
0429-00006-1,269.23318917,6.48773417,6.247,6.272,Ophiucus,-0.025000000000000355
0429-01951-1,268.30939833,6.10126389,6.277,5.81,Ophiucus,0.4670000000000005
0430-03748-1,270.4383,1.30510778,4.464,4.432,Ophiucus,0.03200000000000003
0430-03749-1,270.06525861,0.62948944,6.554,6.379,Ophiucus,0.1750000000000007
0432-01027-1,274.270195,1.0057975,6.972,6.642,Ophiucus,0.33000000000000007
0433-00595-1,276.80212833,0.1961325,5.946,5.382,Serpens,0.5640000000000001
0434-05198-1,270.16131611,2.93158556,3.956,3.959,Ophiucus,-0.0030000000000001137
0434-05201-1,271.15565778,1.91900694,6.068,6.136,Ophiucus,-0.0680000000000005
0434-05213-1,271.36340861,2.50231833,5.18,4.217,Ophiucus,0.9630000000000001
0435-01671-1,273.26598472,2.98061861,6.955,6.843,Ophiucus,0.1120000000000001
0435-04726-1,273.16814528,2.81281417,6.756,6.688,Ophiucus,0.0680000000000005
0435-04738-1,272.03016278,2.21867111,6.817,6.639,Ophiucus,0.17799999999999994
0435-04799-1,272.47502528,3.12027667,6.213,5.721,Ophiucus,0.492
0436-03545-1,275.21692278,3.37714694,5.994,4.957,Ophiucus,1.037
0438-02741-1,270.06582306,4.36864611,4.637,4.742,Ophiucus,-0.10500000000000043
0439-01445-1,272.39108861,3.99330139,6.154,5.766,Ophiucus,0.3879999999999999
0440-03824-1,275.36834333,5.43574528,6.081,6.133,Serpens,-0.0519999999999996
